9496,2016-01-01 01:23,31,588,2,2016-01-01 01:31,2016-01-01 01:56,673
2187,2016-01-01 02:03,66,735,4,2016-01-01 02:22,2016-01-01 02:44,838
7272,2016-01-01 04:04,69,169,2,2016-01-01 04:29,2016-01-01 04:46,739
2378,2016-01-01 04:22,61,508,3,2016-01-01 04:42,2016-01-01 04:52,305
7639,2016-01-01 09:00,89,164,2,2016-01-01 09:25,2016-01-01 09:49,128
6614,2016-01-01 09:02,79,758,2,2016-01-01 09:28,2016-01-01 09:47,233
593,2016-01-01 09:43,44,171,1,2016-01-01 09:55,2016-01-01 10:22,593
9318,2016-01-01 10:43,69,568,4,2016-01-01 10:59,2016-01-01 11:27,785
6490,2016-01-01 18:48,54,616,5,2016-01-01 19:08,2016-01-01 19:27,963
4364,2016-01-01 20:34,64,973,1,2016-01-01 21:03,2016-01-01 21:21,633
3026,2016-01-01 21:07,2,391,4,2016-01-01 21:30,2016-01-01 21:53,785
8853,2016-01-02 00:30,16,164,3,2016-01-02 00:57,2016-01-02 01:04,450
4234,2016-01-02 01:00,64,934,3,2016-01-02 01:11,2016-01-02 01:22,662
2202,2016-01-02 01:20,91,964,2,2016-01-02 01:38,2016-01-02 02:04,790
520,2016-01-02 03:34,85,713,2,2016-01-02 03:52,2016-01-02 03:59,893
3708,2016-01-02 03:39,28,322,3,2016-01-02 04:06,2016-01-02 04:15,728
8141,2016-01-02 03:58,11,36,1,2016-01-02 04:19,2016-01-02 04:25,768
9822,2016-01-02 04:28,43,266,3,2016-01-02 04:46,2016-01-02 04:55,449
2372,2016-01-02 05:03,9,964,2,2016-01-02 05:30,2016-01-02 05:46,253
6152,2016-01-02 05:36,27,503,3,2016-01-02 05:43,2016-01-02 06:07,598
9052,2016-01-02 06:37,38,892,1,2016-01-02 06:51,2016-01-02 07:04,668
986,2016-01-02 07:47,20,485,1,2016-01-02 08:11,2016-01-02 08:31,798
2018,2016-01-02 08:18,85,268,1,2016-01-02 08:25,2016-01-02 08:37,334
2820,2016-01-02 08:19,45,608,5,2016-01-02 08:37,2016-01-02 08:44,824
6425,2016-01-02 09:28,34,220,5,2016-01-02 09:38,2016-01-02 09:52,958
6577,2016-01-02 10:26,61,437,3,2016-01-02 10:56,2016-01-02 11:09,413
392,2016-01-02 10:52,54,336,2,2016-01-02 11:15,2016-01-02 11:30,275
1165,2016-01-02 10:59,19,209,4,2016-01-02 11:29,2016-01-02 11:44,260
725,2016-01-02 12:11,92,822,3,2016-01-02 12:35,2016-01-02 13:04,137
1836,2016-01-02 12:49,26,240,3,2016-01-02 13:08,2016-01-02 13:30,673
587,2016-01-02 14:06,80,276,4,2016-01-02 14:12,2016-01-02 14:30,833
2749,2016-01-02 16:54,20,96,2,2016-01-02 17:04,2016-01-02 17:28,515
3126,2016-01-02 17:15,13,922,3,2016-01-02 17:29,2016-01-02 17:42,992
1733,2016-01-02 17:38,90,202,3,2016-01-02 18:01,2016-01-02 18:24,292
3482,2016-01-02 18:26,40,601,4,2016-01-02 18:32,2016-01-02 18:40,351
8804,2016-01-02 20:38,74,883,2,2016-01-02 20:53,2016-01-02 21:12,342
6654,2016-01-02 21:09,14,848,3,2016-01-02 21:22,2016-01-02 21:40,159
6038,2016-01-02 22:38,46,80,2,2016-01-02 22:54,2016-01-02 23:08,819
6068,2016-01-02 22:44,68,357,4,2016-01-02 23:08,2016-01-02 23:29,553
346,2016-01-03 00:39,25,871,2,2016-01-03 01:08,2016-01-03 01:25,801
8128,2016-01-03 01:07,35,146,1,2016-01-03 01:34,2016-01-03 01:48,860
5178,2016-01-03 01:48,58,725,2,2016-01-03 01:53,2016-01-03 02:01,526
8409,2016-01-03 02:08,64,290,2,2016-01-03 02:19,2016-01-03 02:38,630
729,2016-01-03 02:32,46,325,1,2016-01-03 02:51,2016-01-03 03:12,647
4021,2016-01-03 02:37,48,92,3,2016-01-03 02:48,2016-01-03 03:07,841
3399,2016-01-03 03:09,90,421,5,2016-01-03 03:18,2016-01-03 03:26,696
8790,2016-01-03 05:45,83,56,4,2016-01-03 06:15,2016-01-03 06:22,921
2594,2016-01-03 07:20,79,541,5,2016-01-03 07:35,2016-01-03 07:51,710
2106,2016-01-03 07:55,22,141,2,2016-01-03 08:10,2016-01-03 08:38,248
5309,2016-01-03 09:29,72,510,4,2016-01-03 09:49,2016-01-03 10:10,131
9538,2016-01-03 10:41,76,704,3,2016-01-03 10:56,2016-01-03 11:22,380
4112,2016-01-03 11:39,70,348,3,2016-01-03 12:03,2016-01-03 12:21,788
8705,2016-01-03 12:00,87,983,2,2016-01-03 12:22,2016-01-03 12:47,674
779,2016-01-03 12:27,96,980,2,2016-01-03 12:54,2016-01-03 13:20,214
828,2016-01-03 12:42,14,914,2,2016-01-03 12:58,2016-01-03 13:10,783
9697,2016-01-03 13:23,37,508,5,2016-01-03 13:34,2016-01-03 13:49,647
962,2016-01-03 14:30,31,270,3,2016-01-03 14:42,2016-01-03 14:57,110
6153,2016-01-03 17:16,18,996,3,2016-01-03 17:22,2016-01-03 17:44,237
102,2016-01-03 19:19,55,341,3,2016-01-03 19:30,2016-01-03 19:48,367
8898,2016-01-03 19:21,27,780,3,2016-01-03 19:30,2016-01-03 19:40,927
4983,2016-01-03 20:25,2,629,4,2016-01-03 20:36,2016-01-03 20:55,440
3739,2016-01-03 21:53,14,188,1,2016-01-03 22:16,2016-01-03 22:25,299
3047,2016-01-03 23:47,8,26,2,2016-01-04 00:16,2016-01-04 00:31,123
7430,2016-01-04 00:03,62,259,2,2016-01-04 00:31,2016-01-04 00:48,789
2028,2016-01-04 00:54,35,905,2,2016-01-04 01:01,2016-01-04 01:27,438
9586,2016-01-04 01:35,75,773,4,2016-01-04 01:46,2016-01-04 02:01,136
6029,2016-01-04 01:59,90,421,1,2016-01-04 02:27,2016-01-04 02:37,316
9429,2016-01-04 02:08,73,735,4,2016-01-04 02:34,2016-01-04 02:43,791
8869,2016-01-04 02:53,11,594,4,2016-01-04 03:20,2016-01-04 03:26,602
1020,2016-01-04 03:36,72,748,4,2016-01-04 04:05,2016-01-04 04:22,776
3665,2016-01-04 03:55,46,580,5,2016-01-04 04:02,2016-01-04 04:19,519
4711,2016-01-04 04:01,20,973,3,2016-01-04 04:13,2016-01-04 04:28,529
7209,2016-01-04 04:54,82,814,3,2016-01-04 05:06,2016-01-04 05:15,812
6601,2016-01-04 05:07,89,506,5,2016-01-04 05:23,2016-01-04 05:51,474
3508,2016-01-04 07:43,67,205,3,2016-01-04 08:02,2016-01-04 08:21,125
4113,2016-01-04 10:02,50,707,3,2016-01-04 10:10,2016-01-04 10:16,214
6879,2016-01-04 10:12,28,844,3,2016-01-04 10:24,2016-01-04 10:49,986
4875,2016-01-04 10:24,7,240,1,2016-01-04 10:40,2016-01-04 10:52,744
4688,2016-01-04 11:28,31,922,5,2016-01-04 11:45,2016-01-04 11:55,719
971,2016-01-04 12:48,84,26,1,2016-01-04 12:55,2016-01-04 13:12,846
